id,its,E,S,K,W,Rc,readiness,ceiling,current,coupled,conv,net,labor_b,VHPRLD
W4.7,37.1,0.52,2.83,3.0,3.0,1,0.6,12,1.0,False,High,Expansion,100.0,340423
SA.3,36.9,1.6,2.96,3.2,2.0,2,0.64,20,4.0,True,Medium,Compression,120.0,420333
W4.9,36.7,2.17,2.83,2.24,3.0,0,0.45,32,1.0,True,Medium,Mixed,100.0,512523
W2.2,36.4,0.46,3.92,2.7,2.0,2,0.54,12,1.0,False,High,Mixed,450.0,330334
W3.3,36.1,0.18,4.34,1.64,3.0,4,0.33,8,1.0,False,Medium,Expansion,800.0,241123
W3.4,36.1,0.93,3.13,2.7,3.0,2,0.54,12,1.0,True,Medium,Mixed,150.0,330323
W4.10,36.0,1.8,3.13,3.2,2.0,1,0.64,20,2.0,True,Medium,Compression,150.0,420434
W5.7,35.8,0.87,3.63,1.47,3.0,3,0.29,20,1.0,True,Medium,Mixed,300.0,423223
W6.2,33.5,0.21,5.0,0.36,4.0,2,0.07,20,1.0,True,Medium,Expansion,2000.0,435314
W6.7,33.3,0.53,4.13,0.9,3.0,3,0.18,20,1.0,True,Medium,Mixed,600.0,424224
W6.4,32.1,0.19,4.42,0.32,4.0,2,0.06,20,1.0,True,Medium,Mixed,900.0,425313
W4.5,31.9,0.37,3.13,2.1,2.0,2,0.42,12,0.9,False,High,Expansion,150.0,310335
W10.1,31.1,0.33,4.34,0.97,2.0,4,0.19,12,1.0,True,Medium,Mixed,800.0,313132
W2.6,30.8,0.22,4.0,2.0,1.0,5,0.4,8,1.0,False,Medium,Mixed,500.0,240044
W8.4,30.6,0.82,0.8,2.4,2.0,4,0.48,12,1.0,True,Medium,Mixed,6.0,320133
W1.8,30.5,0.85,1.83,2.4,2.0,3,0.48,12,0.7,True,Medium,Mixed,25.0,320234
W10.3,30.4,0.33,4.0,0.97,2.0,4,0.19,12,1.0,True,Medium,Mixed,500.0,313132
P7,30.2,0.89,4.0,1.47,2.0,2,0.29,20,0.7,True,Medium,Mixed,500.0,423334
W6.1,30.1,0.21,4.5,0.36,4.0,1,0.07,20,1.0,True,Medium,Expansion,1000.0,435414
W7.7,30.1,0.16,2.83,1.48,3.0,3,0.3,8,1.0,False,Medium,Expansion,100.0,231223
W15.2,28.8,1.37,2.83,2.3,1.0,2,0.46,20,1.0,True,Medium,Mixed,100.0,432344
W8.6,28.7,0.46,0.5,2.7,2.0,4,0.54,12,1.0,False,Medium,Expansion,4.0,330133
W6.3,28.5,0.04,4.42,0.2,4.0,1,0.04,8,1.0,True,Medium,Expansion,900.0,245414
SA.1,28.0,0.72,3.33,2.1,0.0,3,0.42,12,1.0,True,High,Compression,200.0,310252
W12.1,28.0,0.46,2.83,2.7,3.0,0,0.54,12,1.0,False,Medium,Expansion,100.0,330525
W3.2,27.9,0.82,2.83,2.4,3.0,3,0.48,12,1.0,True,Low,Mixed,100.0,320224
W3.5,27.8,0.2,3.13,1.8,1.0,3,0.36,8,1.0,False,High,Expansion,150.0,230242
W8.1,27.7,0.46,1.16,2.7,2.0,3,0.54,12,1.0,False,Medium,Expansion,10.0,330233
W3.8,27.6,0.22,5.0,1.02,3.0,4,0.2,8,1.0,True,Low,Mixed,4500.0,222122
AO.1,26.9,0.5,3.63,2.0,1.0,3,0.4,8,0.0,True,Medium,Mixed,300.0,240242
P8,25.9,0.38,1.16,2.21,2.0,3,0.44,12,1.0,False,Medium,Expansion,10.0,331233
P4,25.7,0.23,5.0,0.36,4.0,2,0.07,20,0.0,True,Low,Expansion,5300.0,435314
W2.4,25.4,0.2,2.83,1.8,1.0,4,0.36,8,1.0,False,Medium,Expansion,100.0,230143
P3,25.4,0.39,4.82,0.4,3.0,0,0.08,32,0.7,True,Medium,Mixed,1550.0,525525
W9.3,25.3,0.39,3.63,0.4,3.0,1,0.08,32,1.0,True,Medium,Mixed,300.0,525424
W2.1,25.2,0.12,4.0,1.0,1.0,4,0.2,5,1.0,True,Medium,Mixed,500.0,140142
W2.3,25.1,0.18,3.84,1.6,0.0,5,0.32,8,1.0,False,Medium,Mixed,400.0,220051
W4.8,25.1,0.26,2.33,1.54,3.0,1,0.31,12,1.0,False,Medium,Mixed,50.0,322423
W4.3,25.0,0.22,4.24,1.8,1.0,1,0.36,8,0.3,False,High,Mixed,700.0,230444
SA.6,24.5,0.39,2.99,1.8,1.0,3,0.36,8,1.0,True,Medium,Mixed,125.0,230244
W4.1,24.1,0.46,3.13,2.7,1.0,0,0.54,12,1.0,False,High,Compression,150.0,330543
W8.3,24.0,0.46,0.5,2.7,2.0,2,0.54,12,1.0,False,Medium,Expansion,4.0,330333
W10.2,23.7,0.38,4.0,1.1,2.0,4,0.22,12,1.0,True,Low,Mixed,500.0,323132
W9.2,23.7,0.39,4.0,0.4,3.0,0,0.08,32,1.0,True,Medium,Mixed,500.0,525525
P5,23.7,0.2,4.69,0.32,3.0,3,0.06,20,0.0,True,Low,Mixed,1300.0,425224
W9.1,23.0,0.39,3.63,0.4,3.0,0,0.08,32,1.0,True,Medium,Mixed,300.0,525525
W11.3,22.1,0.68,3.63,1.97,3.0,0,0.39,12,1.0,True,Low,Compression,300.0,321524
W13.1,22.1,0.29,3.63,1.31,0.0,4,0.26,8,1.0,True,Medium,Mixed,300.0,221152
P6,22.1,0.05,4.57,0.2,4.0,1,0.04,8,0.0,True,Low,Expansion,1100.0,245414
W1.1b,22.0,0.44,2.46,1.8,0.0,4,0.36,8,0.2,True,Medium,Compression,60.0,230153
W2.5,21.9,0.04,3.84,0.7,0.0,5,0.14,5,1.0,False,Medium,Mixed,400.0,110051
W11.2,21.8,0.13,4.79,1.15,2.0,0,0.23,8,1.0,False,Medium,Expansion,1500.0,232533
W15.1,21.7,0.52,1.67,3.0,0.0,3,0.6,12,1.0,False,Medium,Expansion,20.0,340254
SA.2,20.3,0.72,1.96,2.1,1.0,1,0.42,12,1.0,True,Medium,Mixed,30.0,310442
W12.2,19.3,0.09,2.83,0.27,3.0,0,0.05,12,1.0,True,Medium,Expansion,100.0,335525
W13.2,19.1,0.1,3.33,0.8,0.0,4,0.16,5,1.0,True,Medium,Mixed,200.0,120152
W14.1,16.8,0.16,2.33,1.48,0.0,3,0.3,8,1.0,False,Medium,Expansion,50.0,231251
W8.5,15.8,0.2,0.0,1.8,3.0,1,0.36,8,1.0,False,Low,Expansion,2.0,230423
W4.4,12.4,0.35,2.83,1.6,1.0,0,0.32,8,1.0,True,Low,Expansion,100.0,220541
W7.1,11.4,0.05,2.33,0.82,1.0,0,0.16,5,1.0,False,Medium,Expansion,50.0,141542
